close,max,min,label
3.7294,3.7294,3.4484,3.7294
3.7294,3.7294,3.4484,3.7716
3.7716,3.7716,3.4484,3.8761
3.8761,3.8761,3.5688,3.9562
3.9562,3.9562,3.7294,3.9562
3.9562,3.9562,3.7294,3.9562
3.9562,3.9562,3.7716,0
0,3.9562,0,18.78
18.78,18.78,0,17.95
17.95,18.78,0,18.77
18.77,18.78,0,19.46
19.46,19.46,0,20.06
20.06,20.06,17.95,18.27
18.27,20.06,17.95,18.7
18.7,20.06,18.27,18.29
18.29,20.06,18.27,18.85
18.85,20.06,18.27,18.85
18.85,18.85,18.27,17.55
17.55,18.85,17.55,16.79
16.79,18.85,16.79,16.65
16.65,18.85,16.65,17.27
17.27,18.85,16.65,18.14
18.14,18.14,16.65,19.16
19.16,19.16,16.65,18.82
18.82,19.16,16.65,19.86
19.86,19.86,17.27,19.91
19.91,19.91,18.14,20.67
20.67,20.67,18.82,19.43
19.43,20.67,18.82,19.7
19.7,20.67,19.43,20.87
20.87,20.87,19.43,21.54
21.54,21.54,19.43,20.25
20.25,21.54,19.43,20.01
20.01,21.54,19.7,21.19
21.19,21.54,20.01,21.95
21.95,21.95,20.01,22.21
22.21,22.21,20.01,22.7
22.7,22.7,20.01,23.1
23.1,23.1,21.19,24.08
24.08,24.08,21.95,23.7
23.7,24.08,22.21,23.95
23.95,24.08,22.7,24.78
24.78,24.78,23.1,25.32
25.32,25.32,23.7,26.31
26.31,26.31,23.7,25.49
25.49,26.31,23.95,31.35
31.35,31.35,24.78,27.74
27.74,31.35,25.32,27.5
27.5,31.35,25.49,27.22
27.22,31.35,25.49,27.12
27.12,31.35,27.12,26.95
26.95,27.74,26.95,26.23
26.23,27.5,26.23,24.98
24.98,27.22,24.98,24.89
24.89,27.12,24.89,24.47
24.47,26.95,24.47,24.77
24.77,26.23,24.47,25.77
25.77,25.77,24.47,25.93
25.93,25.93,24.47,27.5
27.5,27.5,24.47,28.15
28.15,28.15,24.77,27.89
27.89,28.15,25.77,27.57
27.57,28.15,25.93,27.69
27.69,28.15,27.5,28.2
28.2,28.2,27.57,28.78
28.78,28.78,27.57,28.36
28.36,28.78,27.57,27.84
27.84,28.78,27.69,26.73
26.73,28.78,26.73,25.68
25.68,28.78,25.68,23.57
23.57,28.36,23.57,21.6
21.6,27.84,21.6,22.78
22.78,26.73,21.6,23
23,25.68,21.6,23
23,23.57,21.6,23.84
23.84,23.84,21.6,23.5
23.5,23.84,22.78,30.09
30.09,30.09,23,30.01
30.01,30.09,23,23.96
23.96,30.09,23.5,22.81
22.81,30.09,22.81,23.5
23.5,30.09,22.81,23.5
23.5,30.01,22.81,23.27
23.27,23.96,22.81,22.73
22.73,23.5,22.73,21.56
21.56,23.5,21.56,19.95
19.95,23.5,19.95,20.52
20.52,23.27,19.95,19.55
19.55,22.73,19.55,19.31
19.31,21.56,19.31,17.68
17.68,20.52,17.68,17.53
17.53,20.52,17.53,17.71
17.71,19.55,17.53,17.74
17.74,19.31,17.53,17.05
17.05,17.74,17.05,15.32
15.32,17.74,15.32,14.06
14.06,17.74,14.06,15.5
15.5,17.74,14.06,17.5
17.5,17.5,14.06,19.09
19.09,19.09,14.06,19.77
19.77,19.77,14.06,20.28
20.28,20.28,15.5,21.5
21.5,21.5,17.5,21.7
21.7,21.7,19.09,23.54
23.54,23.54,19.77,23.54
23.54,23.54,20.28,24.19
24.19,24.19,21.5,24.46
24.46,24.46,21.7,23.47
23.47,24.46,23.47,23.57
23.57,24.46,23.47,23.96
23.96,24.46,23.47,24.12
24.12,24.46,23.47,24
24,24.12,23.47,22.4
22.4,24.12,22.4,22.54
22.54,24.12,22.4,22.6
22.6,24.12,22.4,23.54
23.54,24,22.4,24.02
24.02,24.02,22.4,25.82
25.82,25.82,22.54,27.66
27.66,27.66,22.6,28.87
28.87,28.87,23.54,30.72
30.72,30.72,24.02,31.87
31.87,31.87,25.82,32.65
32.65,32.65,27.66,33.19
33.19,33.19,28.87,33.92
33.92,33.92,30.72,34.63
34.63,34.63,31.87,36.58
36.58,36.58,32.65,36.99
36.99,36.99,33.19,38.37
38.37,38.37,33.92,38.34
38.34,38.37,34.63,38.56
38.56,38.56,36.58,38.43
38.43,38.56,36.99,38.07
38.07,38.56,38.07,38.05
38.05,38.56,38.05,38.69
38.69,38.69,38.05,40.46
40.46,40.46,38.05,42.41
42.41,42.41,38.05,42.32
42.32,42.41,38.05,41.71
41.71,42.41,38.69,41.88
41.88,42.41,40.46,40.59
40.59,42.41,40.59,39.92
39.92,42.32,39.92,39.3
39.3,41.88,39.3,38.82
38.82,41.88,38.82,37.85
37.85,40.59,37.85,35.25
35.25,39.92,35.25,33.54
33.54,39.3,33.54,33.55
33.55,38.82,33.54,33.15
33.15,37.85,33.15,31.46
31.46,35.25,31.46,29.69
29.69,33.55,29.69,28.36
28.36,33.55,28.36,26.96
26.96,33.15,26.96,26.88
26.88,31.46,26.88,25.56
25.56,29.69,25.56,24.5
24.5,28.36,24.5,24.33
